,clear_date,Aging Bucket
174,2020-03-15,0-15days
175,2020-03-15,0-15days
176,2020-03-15,0-15days
177,2020-03-15,0-15days
178,2020-03-15,0-15days
179,2020-03-11,0-15days
180,2020-03-29,0-15days
181,2020-03-16,0-15days
182,2020-03-15,0-15days
183,2020-03-15,0-15days
184,2020-03-15,0-15days
185,2020-04-15,0-15days
186,2020-03-20,0-15days
187,2020-03-15,0-15days
188,2020-04-05,31-45days
189,2020-03-24,0-15days
190,2020-05-06,0-15days
191,2020-03-15,0-15days
192,2020-03-15,0-15days
193,2020-05-12,0-15days
194,2020-03-17,0-15days
195,2020-03-14,0-15days
196,2020-03-15,0-15days
197,2020-03-15,0-15days
198,2020-04-02,0-15days
199,2020-03-15,0-15days
200,2020-03-16,0-15days
201,2020-03-16,0-15days
202,2020-03-14,0-15days
203,2020-03-15,0-15days
204,2020-03-15,0-15days
205,2020-03-15,0-15days
206,2020-03-16,0-15days
207,2020-03-15,0-15days
208,2020-03-17,0-15days
209,2020-03-15,0-15days
210,2020-03-15,0-15days
211,2020-03-15,0-15days
212,2020-03-15,0-15days
213,2020-03-15,0-15days
214,2020-03-12,0-15days
215,2020-04-04,0-15days
216,2020-03-15,0-15days
217,2020-03-15,0-15days
218,2020-03-30,31-45days
219,2020-03-16,0-15days
220,2020-03-15,0-15days
221,2020-04-02,0-15days
222,2020-03-17,0-15days
223,2020-03-16,0-15days
224,2020-03-15,0-15days
225,2020-04-03,0-15days
226,2020-03-15,0-15days
227,2020-03-15,0-15days
228,2020-03-15,0-15days
229,2020-03-15,0-15days
230,2020-03-16,0-15days
231,2020-03-16,0-15days
232,2020-03-20,0-15days
233,2020-03-11,0-15days
234,2020-04-04,0-15days
235,2020-03-15,0-15days
236,2020-03-15,0-15days
237,2020-03-15,0-15days
238,2020-03-16,0-15days
239,2020-04-05,0-15days
240,2020-03-15,0-15days
241,2020-03-16,0-15days
242,2020-03-15,0-15days
243,2020-03-15,0-15days
244,2020-03-16,0-15days
245,2020-03-28,16-30days
246,2020-03-16,0-15days
247,2020-04-03,0-15days
248,2020-03-23,0-15days
249,2020-03-15,0-15days
250,2020-03-15,0-15days
251,2020-03-14,0-15days
252,2020-03-21,0-15days
253,2020-03-15,0-15days
254,2020-03-16,0-15days
255,2020-03-15,0-15days
256,2020-03-15,0-15days
257,2020-03-15,0-15days
258,2020-03-16,0-15days
259,2020-05-07,0-15days
260,2020-03-17,0-15days
261,2020-03-14,0-15days
262,2020-03-15,0-15days
263,2020-03-19,0-15days
264,2020-03-15,0-15days
265,2020-03-15,0-15days
266,2020-03-15,0-15days
267,2020-03-16,0-15days
268,2020-04-06,31-45days
269,2020-03-16,0-15days
270,2020-03-15,0-15days
271,2020-03-15,0-15days
272,2020-04-02,0-15days
273,2020-03-15,0-15days
274,2020-03-15,0-15days
275,2020-05-04,0-15days
276,2020-03-15,0-15days
277,2020-03-16,0-15days
278,2020-03-16,0-15days
279,2020-03-18,0-15days
280,2020-03-18,0-15days
281,2020-03-16,0-15days
282,2020-05-07,0-15days
283,2020-03-17,0-15days
284,2020-03-16,0-15days
285,2020-03-16,0-15days
286,2020-03-16,0-15days
287,2020-03-19,0-15days
288,2020-03-16,0-15days
289,2020-03-16,0-15days
290,2020-05-08,0-15days
291,2020-03-16,0-15days
292,2020-03-17,0-15days
293,2020-03-16,0-15days
294,2020-03-17,0-15days
295,2020-03-16,0-15days
296,2020-03-16,0-15days
297,2020-03-16,0-15days
298,2020-03-16,0-15days
299,2020-03-17,0-15days
300,2020-03-16,0-15days
301,2020-03-16,0-15days
302,2020-03-29,0-15days
303,2020-03-16,0-15days
304,2020-03-17,0-15days
305,2020-03-17,0-15days
306,2020-03-30,16-30days
307,2020-03-16,0-15days
308,2020-03-18,0-15days
309,2020-03-17,0-15days
310,2020-03-17,0-15days
311,2020-04-03,0-15days
312,2020-03-17,0-15days
313,2020-03-16,0-15days
314,2020-03-17,0-15days
315,2020-04-10,0-15days
316,2020-03-17,0-15days
317,2020-03-22,0-15days
318,2020-03-16,0-15days
319,2020-03-16,0-15days
320,2020-03-16,0-15days
321,2020-03-15,0-15days
322,2020-03-16,0-15days
323,2020-03-16,0-15days
324,2020-04-07,0-15days
325,2020-03-16,0-15days
326,2020-03-17,0-15days
327,2020-03-28,16-30days
328,2020-03-17,0-15days
329,2020-04-06,0-15days
330,2020-03-18,0-15days
331,2020-03-16,0-15days
332,2020-03-19,0-15days
333,2020-03-16,0-15days
334,2020-03-31,31-45days
335,2020-03-30,16-30days
336,2020-03-18,0-15days
337,2020-03-16,0-15days
338,2020-05-09,0-15days
339,2020-03-16,0-15days
340,2020-03-18,0-15days
341,2020-03-17,0-15days
342,2020-03-17,0-15days
343,2020-03-16,0-15days
344,2020-04-06,0-15days
345,2020-03-16,0-15days
346,2020-03-15,0-15days
347,2020-04-09,0-15days
348,2020-03-16,0-15days
349,2020-03-16,0-15days
350,2020-03-16,0-15days
351,2020-03-16,0-15days
352,2020-03-17,0-15days
353,2020-03-16,0-15days
354,2020-03-16,0-15days
355,2020-03-17,0-15days
356,2020-03-16,0-15days
357,2020-03-19,0-15days
358,2020-03-17,0-15days
359,2020-03-18,0-15days
360,2020-03-17,0-15days
361,2020-03-20,0-15days
362,2020-03-16,0-15days
363,2020-03-16,0-15days
364,2020-03-18,0-15days
365,2020-03-16,0-15days
366,2020-03-18,0-15days
367,2020-04-15,0-15days
368,2020-03-19,0-15days
369,2020-03-17,0-15days
370,2020-03-17,0-15days
371,2020-03-16,0-15days
372,2020-03-16,0-15days
373,2020-03-20,0-15days
374,2020-03-28,16-30days
375,2020-03-16,0-15days
376,2020-03-17,0-15days
377,2020-03-16,0-15days
378,2020-03-17,0-15days
379,2020-03-14,0-15days
380,2020-03-17,0-15days
381,2020-03-18,0-15days
382,2020-03-16,0-15days
383,2020-03-18,0-15days
384,2020-03-17,0-15days
385,2020-03-23,0-15days
386,2020-03-16,0-15days
387,2020-03-16,0-15days
388,2020-03-19,0-15days
389,2020-03-16,0-15days
390,2020-03-19,0-15days
391,2020-03-16,0-15days
392,2020-03-18,0-15days
393,2020-03-18,0-15days
394,2020-03-16,0-15days
395,2020-03-18,0-15days
396,2020-03-17,0-15days
397,2020-03-17,0-15days
398,2020-03-17,0-15days
399,2020-03-19,0-15days
400,2020-03-18,0-15days
401,2020-03-25,0-15days
402,2020-03-20,0-15days
403,2020-03-26,16-30days
404,2020-03-16,0-15days
405,2020-03-18,0-15days
406,2020-03-16,0-15days
407,2020-03-17,0-15days
408,2020-03-18,0-15days
409,2020-03-24,0-15days
410,2020-03-24,0-15days
411,2020-03-16,0-15days
412,2020-05-06,46-60days
413,2020-03-15,0-15days
414,2020-03-16,0-15days
415,2020-03-17,0-15days
416,2020-03-17,0-15days
417,2020-03-17,0-15days
418,2020-03-17,0-15days
419,2020-03-15,0-15days
420,2020-03-18,0-15days
421,2020-03-16,0-15days
422,2020-03-16,0-15days
423,2020-03-17,0-15days
424,2020-04-11,0-15days
425,2020-03-16,0-15days
426,2020-03-16,0-15days
427,2020-03-16,0-15days
428,2020-03-17,0-15days
429,2020-03-17,0-15days
430,2020-03-18,0-15days
431,2020-03-26,16-30days
432,2020-03-16,0-15days
433,2020-03-16,0-15days
434,2020-03-16,0-15days
435,2020-03-17,0-15days
436,2020-04-04,0-15days
437,2020-03-20,0-15days
438,2020-03-18,0-15days
439,2020-03-17,0-15days
440,2020-03-17,0-15days
441,2020-03-17,0-15days
442,2020-03-17,0-15days
443,2020-04-14,0-15days
444,2020-03-17,0-15days
445,2020-03-19,0-15days
446,2020-03-18,0-15days
447,2020-03-24,0-15days
448,2020-04-06,0-15days
449,2020-05-08,0-15days
450,2020-03-24,0-15days
451,2020-03-17,0-15days
452,2020-03-18,0-15days
453,2020-03-17,0-15days
454,2020-03-18,0-15days
455,2020-03-18,0-15days
456,2020-03-17,0-15days
457,2020-03-17,0-15days
458,2020-03-25,0-15days
459,2020-03-19,0-15days
460,2020-03-18,0-15days
461,2020-03-18,0-15days
462,2020-03-23,0-15days
463,2020-03-18,0-15days
464,2020-03-18,0-15days
465,2020-03-17,0-15days
466,2020-03-17,0-15days
467,2020-05-05,0-15days
468,2020-04-19,46-60days
469,2020-03-18,0-15days
470,2020-03-17,0-15days
471,2020-03-18,0-15days
472,2020-03-18,0-15days
473,2020-03-19,0-15days
474,2020-03-18,0-15days
475,2020-03-19,0-15days
476,2020-03-19,0-15days
477,2020-03-18,0-15days
478,2020-03-19,0-15days
479,2020-03-22,0-15days
480,2020-03-19,0-15days
481,2020-03-19,0-15days
482,2020-03-18,0-15days
483,2020-03-18,0-15days
484,2020-03-17,0-15days
485,2020-03-17,0-15days
486,2020-03-19,0-15days
487,2020-03-18,0-15days
488,2020-03-19,0-15days
489,2020-04-07,0-15days
490,2020-04-19,46-60days
491,2020-05-05,0-15days
492,2020-03-19,0-15days
493,2020-03-19,0-15days
494,2020-03-18,0-15days
495,2020-03-18,0-15days
496,2020-03-19,0-15days
497,2020-03-23,0-15days
498,2020-03-18,0-15days
499,2020-05-07,0-15days
500,2020-03-21,0-15days
501,2020-03-19,0-15days
502,2020-03-18,0-15days
503,2020-03-17,0-15days
504,2020-03-18,0-15days
505,2020-03-19,0-15days
506,2020-03-23,0-15days
507,2020-03-19,0-15days
508,2020-03-19,0-15days
509,2020-03-17,0-15days
510,2020-03-19,0-15days
511,2020-03-18,0-15days
512,2020-05-08,0-15days
513,2020-03-19,0-15days
514,2020-03-23,0-15days
515,2020-03-20,0-15days
516,2020-03-17,0-15days
517,2020-03-17,0-15days
518,2020-03-17,0-15days
519,2020-05-12,46-60days
520,2020-03-14,0-15days
521,2020-03-17,0-15days
522,2020-03-17,0-15days
523,2020-04-02,0-15days
524,2020-03-18,0-15days
525,2020-03-17,0-15days
526,2020-03-17,0-15days
527,2020-04-03,0-15days
528,2020-03-19,0-15days
529,2020-03-19,0-15days
530,2020-03-17,0-15days
531,2020-03-30,0-15days
532,2020-03-19,0-15days
533,2020-03-18,0-15days
534,2020-03-18,0-15days
535,2020-03-17,0-15days
536,2020-03-19,0-15days
537,2020-03-30,0-15days
538,2020-03-24,0-15days
539,2020-03-22,0-15days
540,2020-04-17,46-60days
541,2020-03-24,0-15days
542,2020-03-17,0-15days
543,2020-03-18,0-15days
544,2020-04-05,0-15days
545,2020-03-17,0-15days
546,2020-04-03,0-15days
547,2020-03-17,0-15days
548,2020-03-19,0-15days
549,2020-03-18,0-15days
550,2020-03-17,0-15days
551,2020-03-21,0-15days
552,2020-03-23,0-15days
553,2020-03-18,0-15days
554,2020-03-19,0-15days
555,2020-04-19,46-60days
556,2020-03-21,0-15days
557,2020-04-18,46-60days
558,2020-03-24,0-15days
559,2020-03-17,0-15days
560,2020-03-18,0-15days
561,2020-03-18,0-15days
562,2020-03-19,0-15days
563,2020-03-19,0-15days
564,2020-05-06,0-15days
565,2020-03-18,0-15days
566,2020-03-22,0-15days
567,2020-03-26,0-15days
568,2020-04-18,0-15days
569,2020-04-02,0-15days
570,2020-03-19,0-15days
571,2020-03-19,0-15days
572,2020-03-19,0-15days
573,2020-04-02,0-15days
574,2020-03-19,0-15days
575,2020-03-17,0-15days
576,2020-03-19,0-15days
577,2020-03-17,0-15days
578,2020-03-17,0-15days
579,2020-03-18,0-15days
580,2020-05-04,0-15days
581,2020-03-17,0-15days
582,2020-03-19,0-15days
583,2020-05-09,0-15days
584,2020-03-18,0-15days
585,2020-03-18,0-15days
586,2020-03-17,0-15days
587,2020-03-20,0-15days
588,2020-05-09,0-15days
589,2020-03-21,0-15days
590,2020-03-19,0-15days
591,2020-03-19,0-15days
592,2020-04-13,0-15days
593,2020-03-18,0-15days
594,2020-03-20,0-15days
595,2020-03-20,0-15days
596,2020-03-20,0-15days
597,2020-03-20,0-15days
598,2020-04-26,16-30days
599,2020-03-19,0-15days
600,2020-03-18,0-15days
601,2020-03-18,0-15days
602,2020-03-25,0-15days
603,2020-03-20,0-15days
604,2020-05-01,46-60days
605,2020-03-18,0-15days
606,2020-03-20,0-15days
607,2020-03-23,0-15days
608,2020-03-26,0-15days
609,2020-03-18,0-15days
610,2020-04-18,0-15days
611,2020-03-19,0-15days
612,2020-03-20,0-15days
613,2020-05-10,0-15days
614,2020-05-10,0-15days
615,2020-03-17,0-15days
616,2020-03-19,0-15days
617,2020-03-19,0-15days
618,2020-03-18,0-15days
619,2020-03-21,0-15days
620,2020-03-18,0-15days
621,2020-03-19,0-15days
622,2020-03-19,0-15days
623,2020-03-24,0-15days
624,2020-05-07,Greater than 60 days
625,2020-03-19,0-15days
626,2020-03-18,0-15days
627,2020-03-19,0-15days
628,2020-03-18,0-15days
629,2020-03-18,0-15days
630,2020-03-19,0-15days
631,2020-03-19,0-15days
632,2020-05-12,0-15days
633,2020-03-25,0-15days
634,2020-03-18,0-15days
635,2020-03-19,0-15days
636,2020-05-11,0-15days
637,2020-03-24,0-15days
638,2020-03-19,0-15days
639,2020-03-24,0-15days
640,2020-03-19,0-15days
641,2020-03-20,0-15days
642,2020-03-20,0-15days
643,2020-03-18,0-15days
644,2020-04-13,0-15days
645,2020-03-22,0-15days
646,2020-03-17,0-15days
647,2020-05-11,0-15days
648,2020-03-25,0-15days
649,2020-03-20,0-15days
650,2020-03-18,0-15days
651,2020-03-19,0-15days
652,2020-03-24,0-15days
653,2020-03-20,0-15days
654,2020-03-20,0-15days
655,2020-05-10,0-15days
656,2020-03-19,0-15days
657,2020-03-21,0-15days
658,2020-03-19,0-15days
659,2020-03-21,0-15days
660,2020-03-24,0-15days
661,2020-03-18,0-15days
662,2020-03-19,0-15days
663,2020-03-25,0-15days
664,2020-04-02,0-15days
665,2020-03-20,0-15days
666,2020-03-23,0-15days
667,2020-03-19,0-15days
668,2020-03-19,0-15days
669,2020-04-24,16-30days
670,2020-03-19,0-15days
671,2020-03-18,0-15days
672,2020-03-18,0-15days
673,2020-04-15,31-45days
674,2020-03-19,0-15days
675,2020-03-18,0-15days
676,2020-03-18,0-15days
677,2020-03-20,0-15days
678,2020-03-17,0-15days
679,2020-03-21,0-15days
680,2020-03-18,0-15days
681,2020-03-19,0-15days
682,2020-03-21,0-15days
683,2020-03-21,0-15days
684,2020-03-19,0-15days
685,2020-03-20,0-15days
686,2020-03-20,0-15days
687,2020-03-19,0-15days
688,2020-05-14,0-15days
689,2020-03-20,0-15days
690,2020-03-20,0-15days
691,2020-03-19,0-15days
692,2020-03-20,0-15days
693,2020-03-18,0-15days
694,2020-03-20,0-15days
695,2020-05-02,46-60days
696,2020-03-20,0-15days
697,2020-03-18,0-15days
698,2020-04-26,16-30days
699,2020-03-20,0-15days
700,2020-03-18,0-15days
701,2020-03-19,0-15days
702,2020-03-21,0-15days
703,2020-03-19,0-15days
704,2020-03-18,0-15days
705,2020-03-18,0-15days
706,2020-03-18,0-15days
707,2020-03-19,0-15days
708,2020-03-19,0-15days
709,2020-03-24,0-15days
710,2020-03-21,0-15days
711,2020-04-18,0-15days
712,2020-03-20,0-15days
713,2020-03-20,0-15days
714,2020-03-20,0-15days
715,2020-03-25,0-15days
716,2020-03-21,0-15days
717,2020-03-19,0-15days
718,2020-03-19,0-15days
719,2020-03-20,0-15days
720,2020-03-19,0-15days
721,2020-03-19,0-15days
722,2020-03-21,0-15days
723,2020-03-30,0-15days
724,2020-04-11,0-15days
725,2020-03-18,0-15days
726,2020-03-19,0-15days
727,2020-03-19,0-15days
728,2020-05-06,Greater than 60 days
729,2020-03-20,0-15days
730,2020-03-23,0-15days
731,2020-03-19,0-15days
732,2020-05-11,0-15days
733,2020-05-10,0-15days
734,2020-03-18,0-15days
735,2020-03-19,0-15days
736,2020-04-26,16-30days
737,2020-03-20,0-15days
738,2020-03-21,0-15days
739,2020-03-19,0-15days
740,2020-03-21,0-15days
741,2020-03-19,0-15days
742,2020-03-24,0-15days
743,2020-03-19,0-15days
744,2020-03-20,0-15days
745,2020-03-18,0-15days
746,2020-05-10,0-15days
747,2020-03-24,0-15days
748,2020-03-24,0-15days
749,2020-03-20,0-15days
750,2020-03-19,0-15days
751,2020-03-19,0-15days
752,2020-04-04,0-15days
753,2020-05-09,0-15days
754,2020-03-19,0-15days
755,2020-03-21,0-15days
756,2020-03-21,0-15days
757,2020-03-21,0-15days
758,2020-05-09,0-15days
759,2020-03-19,0-15days
760,2020-03-25,0-15days
761,2020-03-20,0-15days
762,2020-03-19,0-15days
763,2020-03-19,0-15days
764,2020-03-20,0-15days
765,2020-03-21,0-15days
766,2020-03-25,0-15days
767,2020-03-20,0-15days
768,2020-03-21,0-15days
769,2020-03-20,0-15days
770,2020-03-21,0-15days
771,2020-03-20,0-15days
772,2020-03-19,0-15days
773,2020-03-19,0-15days
774,2020-05-04,0-15days
775,2020-03-21,0-15days
776,2020-03-08,0-15days
777,2020-03-27,0-15days
778,2020-03-20,0-15days
779,2020-03-20,0-15days
780,2020-04-09,0-15days
781,2020-04-07,0-15days
782,2020-05-09,0-15days
783,2020-03-20,0-15days
784,2020-03-21,0-15days
785,2020-03-19,0-15days
786,2020-03-19,0-15days
787,2020-03-21,0-15days
788,2020-03-19,0-15days
789,2020-03-19,0-15days
790,2020-03-19,0-15days
791,2020-03-20,0-15days
792,2020-03-21,0-15days
793,2020-03-19,0-15days
794,2020-03-20,0-15days
795,2020-05-08,0-15days
796,2020-03-21,0-15days
797,2020-03-19,0-15days
798,2020-03-25,0-15days
799,2020-03-20,0-15days
800,2020-03-20,0-15days
801,2020-03-19,0-15days
802,2020-04-07,0-15days
803,2020-03-19,0-15days
804,2020-03-21,0-15days
805,2020-03-20,0-15days
806,2020-03-21,0-15days
807,2020-03-12,0-15days
808,2020-03-20,0-15days
809,2020-03-19,0-15days
810,2020-03-21,0-15days
811,2020-03-11,0-15days
812,2020-03-19,0-15days
813,2020-03-21,0-15days
814,2020-03-24,0-15days
815,2020-03-20,0-15days
816,2020-05-09,0-15days
817,2020-03-21,0-15days
818,2020-03-11,0-15days
819,2020-03-21,0-15days
820,2020-03-20,0-15days
821,2020-03-20,0-15days
822,2020-03-20,0-15days
823,2020-03-21,0-15days
824,2020-03-18,0-15days
825,2020-03-19,0-15days
826,2020-03-19,0-15days
827,2020-03-25,0-15days
828,2020-03-19,0-15days
829,2020-03-19,0-15days
830,2020-03-19,0-15days
831,2020-04-09,0-15days
832,2020-05-09,0-15days
833,2020-03-18,0-15days
834,2020-03-20,0-15days
835,2020-03-19,0-15days
836,2020-03-24,0-15days
837,2020-03-21,0-15days
838,2020-03-19,0-15days
839,2020-03-21,0-15days
840,2020-03-24,0-15days
841,2020-03-21,0-15days
842,2020-03-21,0-15days
843,2020-03-19,0-15days
844,2020-03-19,0-15days
845,2020-03-19,0-15days
846,2020-03-24,0-15days
847,2020-03-20,0-15days
848,2020-03-25,0-15days
849,2020-03-25,0-15days
850,2020-03-19,0-15days
851,2020-03-24,0-15days
852,2020-03-20,0-15days
853,2020-03-25,0-15days
854,2020-03-09,0-15days
855,2020-03-24,0-15days
856,2020-03-28,0-15days
857,2020-03-24,0-15days
858,2020-03-25,0-15days
859,2020-03-24,0-15days
860,2020-03-21,0-15days
861,2020-03-20,0-15days
862,2020-03-21,0-15days
863,2020-03-21,0-15days
864,2020-03-19,0-15days
865,2020-03-19,0-15days
866,2020-03-20,0-15days
867,2020-03-22,0-15days
868,2020-03-21,0-15days
869,2020-04-08,0-15days
870,2020-03-17,0-15days
871,2020-03-21,0-15days
872,2020-03-19,0-15days
873,2020-03-11,0-15days
874,2020-03-21,0-15days
875,2020-03-19,0-15days
876,2020-05-10,0-15days
877,2020-03-19,0-15days
878,2020-04-08,0-15days
879,2020-03-21,0-15days
880,2020-03-21,0-15days
881,2020-03-23,0-15days
882,2020-05-06,0-15days
883,2020-03-22,0-15days
884,2020-03-21,0-15days
885,2020-03-21,0-15days
886,2020-03-24,0-15days
887,2020-03-24,0-15days
888,2020-03-25,0-15days
889,2020-03-19,0-15days
890,2020-03-19,0-15days
891,2020-03-20,0-15days
892,2020-03-18,0-15days
893,2020-03-19,0-15days
894,2020-03-24,0-15days
895,2020-04-08,0-15days
896,2020-03-19,0-15days
897,2020-03-19,0-15days
898,2020-05-10,0-15days
899,2020-03-24,0-15days
900,2020-03-19,0-15days
901,2020-03-23,0-15days
902,2020-03-23,0-15days
903,2020-03-19,0-15days
904,2020-03-11,0-15days
905,2020-03-19,0-15days
906,2020-03-10,0-15days
907,2020-03-21,0-15days
908,2020-03-20,0-15days
909,2020-03-20,0-15days
910,2020-03-21,0-15days
911,2020-03-19,0-15days
912,2020-03-20,0-15days
913,2020-03-20,0-15days
914,2020-03-21,0-15days
915,2020-03-20,0-15days
916,2020-03-20,0-15days
917,2020-03-20,0-15days
918,2020-03-20,0-15days
919,2020-03-26,0-15days
920,2020-03-19,0-15days
921,2020-03-20,0-15days
922,2020-03-21,0-15days
923,2020-03-25,0-15days
924,2020-03-19,0-15days
925,2020-03-20,0-15days
926,2020-03-19,0-15days
927,2020-03-20,0-15days
928,2020-03-20,0-15days
929,2020-03-20,0-15days
930,2020-03-20,0-15days
931,2020-03-19,0-15days
932,2020-03-21,0-15days
933,2020-03-20,0-15days
934,2020-03-20,0-15days
935,2020-03-25,0-15days
936,2020-03-25,0-15days
937,2020-03-22,0-15days
938,2020-03-24,0-15days
939,2020-03-08,0-15days
940,2020-03-24,0-15days
941,2020-03-21,0-15days
942,2020-03-21,0-15days
943,2020-03-21,0-15days
944,2020-03-23,0-15days
945,2020-03-27,0-15days
946,2020-03-22,0-15days
947,2020-03-21,0-15days
948,2020-03-22,0-15days
949,2020-03-22,0-15days
950,2020-03-21,0-15days
951,2020-03-20,0-15days
952,2020-03-21,0-15days
953,2020-03-21,0-15days
954,2020-03-20,0-15days
955,2020-03-20,0-15days
956,2020-03-20,0-15days
957,2020-03-20,0-15days
958,2020-03-21,0-15days
959,2020-03-22,0-15days
960,2020-03-23,0-15days
961,2020-03-24,0-15days
962,2020-03-20,0-15days
963,2020-03-22,0-15days
964,2020-03-20,0-15days
965,2020-03-26,0-15days
966,2020-03-22,0-15days
967,2020-03-31,0-15days
968,2020-03-24,0-15days
969,2020-03-22,0-15days
970,2020-03-21,0-15days
971,2020-03-22,0-15days
972,2020-03-21,0-15days
973,2020-03-20,0-15days
974,2020-03-21,0-15days
975,2020-05-11,0-15days
976,2020-03-20,0-15days
977,2020-05-12,0-15days
978,2020-04-08,0-15days
979,2020-05-02,0-15days
980,2020-03-21,0-15days
981,2020-04-08,0-15days
982,2020-03-12,0-15days
983,2020-03-22,0-15days
984,2020-03-20,0-15days
985,2020-03-25,0-15days
986,2020-03-20,0-15days
987,2020-03-22,0-15days
988,2020-03-21,0-15days
989,2020-03-21,0-15days
990,2020-03-20,0-15days
991,2020-03-21,0-15days
992,2020-03-22,0-15days
993,2020-03-21,0-15days
994,2020-03-20,0-15days
995,2020-03-21,0-15days
996,2020-03-11,0-15days
